Group,Action,Link,Setting,Level,Needs,Other,Affinity,State,Region,Latitude,Longitude,Expiration,Initials,Group Contact,,geodeticDa,utmZone
Greater Yellowstone Coalition,Protect Montana's Rivers - online letters,https://secure3.convio.net/gyc/site/Advocacy?cmd=display&page=UserAction&id=601&_ga=2.252054479.718070296.1600955582-1525139963.1600955582,2,2,3,,6,Montana,4,45.67675579,-111.0289906,NA,LH,gyc@greateryellowstone.org,,WGS84,18N
Greater Yellowstone Coalition,Montana Headwaters Legacy Act: The Last Remaining Wild Rivers calls&in person letters,http://greateryellowstone.org/mtheadwatersact,3,3,4,,7,Montana,4,45.67675579,-111.0289906,NA,LH,gyc@greateryellowstone.org,,WGS84,18N
Greater Yellowstone Coalition,Montana Headwaters Legacy Act: op-eds,CDRIMAL@GREATERYELLOWSTONE.ORG,4,4,5,op-eds,8,Montana,4,45.67675579,-111.0289906,NA,LH,gyc@greateryellowstone.org,,WGS84,18N
UM Climate Response Club,25% Energy at UM by 2025,https://docs.google.com/forms/d/e/1FAIpQLSdB6hThArNElI74-23LvMwcdnb0fM-5ddigRXz7-qDe81mF3Q/viewform,1,1,6,,5,Montana,4,46.86023591,-113.985251,NA,LH,crc.umt@gmail.com,,WGS84,18N
Environment Montana,Tell your senators: don't hit the brakes on electric cars,https://environmentmontana.webaction.org/p/dia/action4/common/public/?action_KEY=32514&_ga=2.204275280.1358226137.1607209612-1171433584.1607209612,2,2,7,,1,Montana,4,46.87097097,-113.9972793,NA,LH,https://environmentmontana.org/contact,,WGS84,18N
Environment Montana,Tell the House of Representatives to Restore Protections for the Arctic Wildlife National Refuge ,https://environmentmontana.webaction.org/p/dia/action4/common/public/?action_KEY=34302&_ga=2.125089738.1358226137.1607209612-1171433584.1607209612,3,3,8,,2,Montana,4,46.87097097,-113.9972793,NA,LH,https://environmentmontana.org/contact,,WGS84,18N
Environment Montana,Tell the Bureau of Land Management: Protect our lands from drilling,https://environmentamerica.webaction.org/p/dia/action4/common/public/?action_KEY=38027&_ga=2.31363199.1358226137.1607209612-1171433584.1607209612,4,4,9,,3,Montana,4,46.87097097,-113.9972793,NA,LH,https://environmentmontana.org/contact,,WGS84,18N
Environment Montana,"Tell your representative: support ""solar strong"" legislation",https://environmentmontana.webaction.org/p/dia/action4/common/public/?action_KEY=34302&_ga=2.125089738.1358226137.1607209612-1171433584.1607209612,1,1,10,,4,Montana,4,46.87097097,-113.9972793,NA,LH,https://environmentmontana.org/contact,,WGS84,18N
WildEarth Guardians,Urge President-elect Biden to keep dirty fossil fuels in the ground,https://secure.wildearthguardians.org/site/Advocacy?cmd=display&page=UserAction&id=1115,2,2,11,,5,Montana,4,46.88139893,-113.9948315,NA,LH,info@wildearthguardians.org,,WGS84,18N
Montana Conservation Voters,Delay Keystone XL!,https://p2a.co/ZW3enTk?emci=01f10433-567b-ea11-a94c-00155d03b1e8&emdi=6d29e79b-867b-ea11-a94c-00155d03b1e8&ceid=297555,3,3,1,,6,Montana,4,45.79236783,-108.5005244,NA,LH,https://mtvotersedfund.org/about-us/contact/,,WGS84,18N
Environment New Hampshire,Convince campuses to use 100% renewable energy,https://environmentnewhampshire.org/feature/nhe/100-renewable,4,4,2,,7,New Hampshire,1,43.20073,-71.53282,NA,LH,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Ask 50 cities across the country to go big on solar energy,https://environmentnewhampshire.org/feature/nhe/go-solar,1,1,3,,8,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Convince coastal states to harness wind energy,https://environmentnewhampshire.org/feature/nhe/go-big-offshore-wind,2,2,4,,1,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Tell the House of Representatives to restore protections to the Arctic National Wildlife Refuge,https://environmentnewhampshire.org/feature/nhe/environmental-defense-arctic-national-wildlife-refuge,3,3,5,,2,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Send a message to the Bureau of Land Management to stop oil drilling campaigns in southern Utah's protected lands,https://environmentnewhampshire.org/feature/ame/greener-together-0,4,4,6,,3,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Demand our government and lawmakers to ban plastic foam take-out cups and containers,https://environmentnewhampshire.org/feature/nhe/wildlife-over-waste,1,1,7,,4,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Contact legislators to restrict bee-killing pesticides,https://environmentnewhampshire.org//feature/nhe/save-bees,2,2,8,,5,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Tell your members of Congress to protect endangered species by passing the PAW and FIN Conservation Act,https://environmentnewhampshire.org/feature/nhe/protect-endangered-species,3,3,9,,6,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Call on Cargill to end its role in tropical deforestation,https://environmentnewhampshire.org/feature/nhe/tropical-forest-protection,4,4,10,,7,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Defend the federal tax credit for electric vehicles,https://environmentnewhampshire.org/feature/nhe/destination-zero-carbon,1,1,11,,8,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Environment New Hampshire,Tell your representatives to support the Solar Strong Act,https://environmentnewhampshire.org/feature/nhe/bridging-climate-divide,2,2,1,,1,New Hampshire,1,43.20073,-71.53282,NA,KA,takeaction@sample.com,,WGS84,18N
Climate Action Campaign,Volunteer in Orange County,https://www.climateactioncampaign.org/volunteer-in-orange-county/,3,3,2,,2,California,7,32.78485,-117.13986,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Share Your Climate Story,https://go.ecovote.org/survey/share-your-climate-story/,4,4,3,,3,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Add your name: Demand Gov. Newsom and the Legislature take large-scale climate action now!,https://go.ecovote.org/sign/climate-action-now-in-CA?refcode=takeaction,1,1,4,,4,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Tell the Legislature: Pass the Plastic Pollution Reduction Act,https://go.ecovote.org/sign/stopplasticpollution?refcode=takeaction,2,2,5,,5,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Tell EPA Administrator Andrew Wheeler: Stop Trump's Rollback on Clean Cars,https://go.ecovote.org/sign/tell-EPA-stop-trumps-rollback-clean-cars?refcode=takeaction,3,3,6,,6,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Tell Congress: Stop Trump's California Oil Drilling and Fracking Plan,https://go.ecovote.org/call/tell-congress-stop-trumps-california-oil-drilling-and-fracking-plan?refcode=takeaction,4,4,7,,7,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Urge the Senate: Pass the Green New Deal today!,https://go.ecovote.org/sign/GreenNewDeal_Senate?refcode=takeaction,1,1,8,,8,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
California League of Conservation Voters,Tell Congress: Protect California from offshore oil drilling!,https://go.ecovote.org/letter/no-new-oil-drilling-californias-coasts_copy/,2,2,9,,1,California,7,34.14081,-118.31805,NA,,takeaction@sample.com,,WGS84,18N
Californians Against Waste,Stop Plastic Pollution,https://camustlead.org/,3,3,10,,2,California,7,38.58032,-121.49166,NA,,takeaction@sample.com,,WGS84,18N
The Nature Conservancy in California,Let's Stop Megafires Before They Start,https://www.nature.org/en-us/about-us/where-we-work/united-states/california/stories-in-california/californias-wildfire-future/,4,4,11,,3,California,7,37.89313,-122.40798,NA,,takeaction@sample.com,,WGS84,18N
SoCal 350,West Coast Oil Invasion,https://socal350.org/campaigns/west-coast-oil-invasion/,1,1,1,,4,California,7,35.1877,-116.41414,NA,,takeaction@sample.com,,WGS84,18N
SoCal 350,The Great Turning to Renewable Energy,https://socal350.org/campaigns/the-great-turning-to-renewable-energy/,2,2,2,,5,California,7,35.1877,-116.41414,NA,,takeaction@sample.com,,WGS84,18N
SoCal 350,Close Aliso Canyon Natural Gas Storage Facility,https://socal350.org/campaigns/save-porter-ranch/,3,3,3,,6,California,7,35.1877,-116.41414,NA,,takeaction@sample.com,,WGS84,18N
SoCal 350,Fossil Fuel Divestment,https://socal350.org/campaigns/divestment/,4,4,4,,7,California,7,35.1877,-116.41414,NA,,takeaction@sample.com,,WGS84,18N
Missouri Coalition for the Environment,Sample Action,https://docs.google.com/forms/d/e/1FAIpQLSfx90HZWxkn-_hH31G3PhczQsEJYFqrUofoitmVMxWDRJjVPA/viewform,1,1,5,,8,Missouri,7,38.60238,-90.24258,NA,,takeaction@sample.com,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,1,2,3,,1,Montana,4,46.8727431,-113.9946677,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,1,4,4,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,1,3,5,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,2,4,6,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,3,1,7,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,4,2,6,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,1,3,5,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,2,4,4,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,3,1,3,,1,Montana,4,46.8727431,-113.99467,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
,Extreme weather: our climate crisis laid bare,https://www.eventbrite.co.uk/e/extreme-weather-our-climate-crisis-laid-bare-tickets-161754045705,1,4,2,,1,Kansas,,37.09024,-95.712891,,,,,,
,Speaking Out for Climate & Environmental Justice,https://www.eventbrite.com/e/speaking-out-for-climate-environmental-justice-registration-162190627533,1,1,2,,,Kansas,,37.09024,-95.712891,,,,,,
,Seeking Justice in Climate Policies: Current Cases from the US and Brazil,https://www.eventbrite.com/e/seeking-justice-in-climate-policies-current-cases-from-the-us-and-brazil-tickets-162122144699,1,4,3,,,Kansas,,37.09024,-95.712891,,,,,,
,Climate Learning; Climate Action,https://www.eventbrite.co.uk/e/climate-learning-climate-action-tickets-159462423401,1,4,1,,,Kansas,,37.09024,-95.712891,,,,,,
,Near you data tool - is your area doing enough to take Climate Action?,https://www.eventbrite.co.uk/e/near-you-data-tool-is-your-area-doing-enough-to-take-climate-action-registration-160754706655,1,4,4,,,Kansas,,37.09024,-95.712891,,,,,,
,Resilience & Adaptation - #2 AIA U Live Action for Climate Action Series,https://www.eventbrite.com/e/resilience-adaptation-2-aia-u-live-action-for-climate-action-series-tickets-161964043815,1,4,2,,,Kansas,,37.09024,-95.712891,,,,,,
,Understanding Climate Change in the NC Mountains - Session 3 of 3,https://www.eventbrite.com/e/understanding-climate-change-in-the-nc-mountains-session-3-of-3-registration-160594696059,1,1,3,,,Kansas,,37.09024,-95.712891,,,,,,
,City Scale Climate Solutions toward Net Zero,https://www.eventbrite.com/e/city-scale-climate-solutions-toward-net-zero-registration-158951410949,1,4,5,,,Kansas,,37.09024,-95.712891,,,,,,
,Delta Conveyance Project Virtual Info Webinar: Climate Change,https://www.eventbrite.com/e/delta-conveyance-project-virtual-info-webinar-climate-change-registration-157826482257,1,4,6,,,Kansas,,37.09024,-95.712891,,,,,,
,Talking about climate change,https://www.eventbrite.com/e/talking-about-climate-change-tickets-162830236621,1,4,1,,,Kansas,,37.09024,-95.712891,,,,,,
,Camp AWARE - Virtual Climate Change Summer Camp,https://www.eventbrite.ca/e/camp-aware-virtual-climate-change-summer-camp-tickets-158674424475,1,4,4,,,Kansas,,37.09024,-95.712891,,,,,,
,"Demystifying Requirements for ESG (Environment, Social, Governance)",https://www.eventbrite.com/e/demystifying-requirements-for-esg-environment-social-governance-tickets-163091718721,1,4,2,,,Kansas,,37.09024,-95.712891,,,,,,
,Focusing on the Environment in your Community Work - Galway,https://www.eventbrite.ie/e/focusing-on-the-environment-in-your-community-work-galway-tickets-163178969691,1,1,3,,,Kansas,,37.09024,-95.712891,,,,,,
,Introduction to the Climate Justice Movement,https://www.eventbrite.com/e/introduction-to-the-climate-justice-movement-tickets-156756642337,1,1,5,,,Kansas,,37.09024,-95.712891,,,,,,
,Reflection and Action on Climate in your Parish/Local Community,https://www.eventbrite.co.uk/e/reflection-and-action-on-climate-in-your-parishlocal-community-tickets-161804384269,1,1,6,,,Kansas,,37.09024,-95.712891,,,,,,
,Assemble! Organise! Climate action on COP talks in UK.,https://www.eventbrite.co.uk/e/assemble-organise-climate-action-on-cop-talks-in-uk-tickets-162809775421,1,4,3,,,Kansas,,37.09024,-95.712891,,,,,,
,Zero Foodprint: Climate Action with Every Meal,https://www.eventbrite.com/e/zero-foodprint-climate-action-with-every-meal-tickets-156294078797,1,1,1,,,Kansas,,37.09024,-95.712891,,,,,,
,Communicating Climate Change,https://www.eventbrite.com/e/communicating-climate-change-tickets-161383332893,1,1,4,,,Kansas,,37.09024,-95.712891,,,,,,
,Climate Change Lunch and Learn Event 5 -23 July 2021,https://www.eventbrite.co.uk/e/climate-change-lunch-and-learn-event-5-23-july-2021-tickets-157073632463,1,1,2,,,Kansas,,37.09024,-95.712891,,,,,,
,Public meeting on climate change with Thangam Debbonaire MP,https://www.eventbrite.co.uk/e/public-meeting-on-climate-change-with-thangam-debbonaire-mp-tickets-162818922781,1,4,5,,,Kansas,,37.09024,-95.712891,,,,,,
,You're Not To Blame For The Climate Crisis,https://www.eventbrite.co.uk/e/youre-not-to-blame-for-the-climate-crisis-tickets-163526005685,1,4,6,,,Kansas,,37.09024,-95.712891,,,,,,
,Climate Justice: A Discussion,https://www.eventbrite.com/e/climate-justice-a-discussion-tickets-163128617085,1,4,1,,,Kansas,,37.09024,-95.712891,,,,,,
,Info Sessions: The Worldwide Teach-In On Climate & Justice (3.30.22),https://www.eventbrite.com/e/info-sessions-the-worldwide-teach-in-on-climate-justice-33022-tickets-162597532597,1,1,4,,,Kansas,,37.09024,-95.712891,,,,,,
,Students for a Carbon Fee & Dividend Rally,https://www.eventbrite.com/e/students-for-a-carbon-fee-dividend-rally-tickets-163434504001,2,4,2,,,California,,37.5616735,-122.3224436,,,,,,
,Talking about climate change,https://www.eventbrite.com/e/talking-about-climate-change-tickets-162830236621,1,1,3,,,Kansas,,37.09024,-95.712891,,,,,,
,Communicating Climate Change,https://www.eventbrite.com/e/communicating-climate-change-tickets-161383332893,1,1,3,,,Kansas,,37.09024,-95.712891,,,,,,
,Info Sessions: The Worldwide Teach-In On Climate & Justice (3.30.22),https://www.eventbrite.com/e/info-sessions-the-worldwide-teach-in-on-climate-justice-33022-tickets-162597532597,1,1,6,,,Kansas,,37.09024,-95.712891,,,,,,
